horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+15min,3,5,ACI,0.2,1.0,0.8374384236453202,17.017180208716656,31.145198909410244
y_t+15min,3,5,ACI,0.2,2.0,0.8384236453201971,17.576781759883975,32.089157235074715
y_t+15min,3,5,ACI,0.5,0.5,0.7733990147783252,18.746385172025562,35.20464625221521
y_t+15min,3,5,ACI,0.5,1.0,0.7832512315270936,18.97008989873472,35.05951985046517
y_t+15min,3,5,ACI,0.5,2.0,0.7842364532019704,20.56766041793455,36.66671390130576
y_t+15min,3,6,split-CP,,,0.8945812807881773,8.478773809523801,14.968359711944684
y_t+15min,3,6,ACI,0.01,0.5,0.896551724137931,10.376306895840886,15.71251968997979
y_t+15min,3,6,ACI,0.01,1.0,0.8975369458128079,9.932381145491984,15.349003311321043
y_t+15min,3,6,ACI,0.01,2.0,0.8985221674876848,9.925870400699464,15.286312883230618
y_t+15min,3,6,ACI,0.02,0.5,0.8926108374384236,10.268554629688865,15.61262566019093
y_t+15min,3,6,ACI,0.02,1.0,0.8935960591133005,9.640219396522106,15.312795030885917
y_t+15min,3,6,ACI,0.02,2.0,0.8926108374384236,9.474394448591001,15.099868133362714
y_t+15min,3,6,ACI,0.05,0.5,0.8857142857142857,9.927968304556234,15.177046213602127
y_t+15min,3,6,ACI,0.05,1.0,0.8876847290640394,9.441663095534278,14.065777816518457
y_t+15min,3,6,ACI,0.05,2.0,0.8876847290640394,9.399875477742471,14.243199898350143
y_t+15min,3,6,ACI,0.1,0.5,0.8768472906403941,9.461826368896565,14.438669682397515
y_t+15min,3,6,ACI,0.1,1.0,0.8719211822660099,10.472915633818836,15.394988910569456
y_t+15min,3,6,ACI,0.1,2.0,0.8719211822660099,10.484400633119845,15.602052610316157
y_t+15min,3,6,ACI,0.2,0.5,0.8463054187192118,10.011471179659603,16.367250721500724
y_t+15min,3,6,ACI,0.2,1.0,0.8492610837438423,11.352621023512157,17.587192159455217
y_t+15min,3,6,ACI,0.2,2.0,0.8423645320197044,11.72960904506003,18.623853706073167
y_t+15min,3,6,ACI,0.5,0.5,0.780295566502463,11.156535965330052,19.77377743941882
y_t+15min,3,6,ACI,0.5,1.0,0.7793103448275862,14.556027867817276,23.495338857138115
y_t+15min,3,6,ACI,0.5,2.0,0.7753694581280788,15.195908995182887,24.138350153185616
y_t+15min,3,7,split-CP,,,0.8364532019704434,47.24847222222223,90.93409319976683
y_t+15min,3,7,ACI,0.01,0.5,0.8975369458128079,64.77886742051052,88.9404010597412
y_t+15min,3,7,ACI,0.01,1.0,0.8955665024630541,64.88088626376361,88.91075728810507
y_t+15min,3,7,ACI,0.01,2.0,0.8926108374384236,63.883624731836306,88.50243378530793
y_t+15min,3,7,ACI,0.02,0.5,0.8955665024630541,63.160489956093905,86.8497500470338
y_t+15min,3,7,ACI,0.02,1.0,0.8926108374384236,65.08852865045009,87.34360891473972
y_t+15min,3,7,ACI,0.02,2.0,0.8906403940886699,62.45492098477147,85.083852604511
y_t+15min,3,7,ACI,0.05,0.5,0.8847290640394089,61.32225083487941,85.25796821629385
y_t+15min,3,7,ACI,0.05,1.0,0.8837438423645321,61.349724857253676,83.39631109495322
y_t+15min,3,7,ACI,0.05,2.0,0.8798029556650246,60.77668694351625,85.05036150641003
y_t+15min,3,7,ACI,0.1,0.5,0.8630541871921182,62.13969263204411,87.92702343360891
y_t+15min,3,7,ACI,0.1,1.0,0.858128078817734,61.94260677713092,88.6142817475719
y_t+15min,3,7,ACI,0.1,2.0,0.8522167487684729,59.96488296487311,90.53814432702858
y_t+15min,3,7,ACI,0.2,0.5,0.8344827586206897,56.96344646808219,91.81336227759651
y_t+15min,3,7,ACI,0.2,1.0,0.8275862068965517,58.954383583074474,94.32758185834419
y_t+15min,3,7,ACI,0.2,2.0,0.81871921182266,58.54730665442931,97.10558296906524
y_t+15min,3,7,ACI,0.5,0.5,0.7724137931034483,59.1087240801162,107.92197065209922
y_t+15min,3,7,ACI,0.5,1.0,0.7605911330049261,62.78024083705931,114.75995728253686
y_t+15min,3,7,ACI,0.5,2.0,0.7546798029556651,63.180660738203606,117.99332349143288
y_t+15min,3,8,split-CP,,,0.8660098522167488,63.349925925925945,94.31316104986057
y_t+15min,3,8,ACI,0.01,0.5,0.8896551724137931,42.734872037167364,59.05030090833268
y_t+15min,3,8,ACI,0.01,1.0,0.9044334975369458,47.85428024343838,64.07857921130139
y_t+15min,3,8,ACI,0.01,2.0,0.9300492610837439,47.14365775891688,63.26284545928438
y_t+15min,3,8,ACI,0.02,0.5,0.8916256157635468,41.150998811478615,55.46042151849246
y_t+15min,3,8,ACI,0.02,1.0,0.9004926108374385,39.40661244819767,55.50390761070711
y_t+15min,3,8,ACI,0.02,2.0,0.90935960591133,38.54996264912792,55.49784808808234
y_t+15min,3,8,ACI,0.05,0.5,0.8876847290640394,35.566884276852505,50.54384346052598
y_t+15min,3,8,ACI,0.05,1.0,0.8975369458128079,33.24914553522559,48.37908109182371
y_t+15min,3,8,ACI,0.05,2.0,0.9004926108374385,29.89460076983772,44.7271157306113
y_t+15min,3,8,ACI,0.1,0.5,0.8817733990147784,31.349113063309616,46.70997695675971
