horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+60min,2,5,ACI,0.02,1.0,0.9191176470588235,193.64048670926707,276.40335056314194
y_t+60min,2,5,ACI,0.05,1.0,0.9117647058823529,186.84359646358544,281.06534993580766
y_t+60min,2,5,ACI,0.1,1.0,0.9117647058823529,220.89149098389353,306.2660182948179
y_t+60min,2,6,split-CP,,,0.8823529411764706,206.8980873015871,309.2741825105042
y_t+60min,2,6,ACI,0.002,1.0,0.8897058823529411,206.4185288136088,325.2326285159897
y_t+60min,2,6,ACI,0.005,1.0,0.8897058823529411,203.48372624883285,325.2828587768441
y_t+60min,2,6,ACI,0.01,1.0,0.8823529411764706,205.23113928279645,328.8564567431139
y_t+60min,2,6,ACI,0.02,1.0,0.8897058823529411,204.6583879260037,332.01615592903823
y_t+60min,2,6,ACI,0.05,1.0,0.8897058823529411,219.54797535889358,316.5415253413865
y_t+60min,2,6,ACI,0.1,1.0,0.8897058823529411,197.18506629318392,280.76905613912226
y_t+60min,2,7,split-CP,,,0.7867647058823529,72.34301587301582,122.86817693744166
y_t+60min,2,7,ACI,0.002,1.0,0.8676470588235294,83.19695611577961,112.40408671802052
y_t+60min,2,7,ACI,0.005,1.0,0.8676470588235294,83.50860028594768,112.57062526260503
y_t+60min,2,7,ACI,0.01,1.0,0.875,83.9727308881886,112.85354321311858
y_t+60min,2,7,ACI,0.02,1.0,0.875,85.35395146183473,112.45531686216155
y_t+60min,2,7,ACI,0.05,1.0,0.8823529411764706,82.03697706582632,115.84327754435108
y_t+60min,2,7,ACI,0.1,1.0,0.8823529411764706,85.61453898225957,121.06941264005603
y_t+60min,2,9,split-CP,,,0.8962962962962963,39.36757142857141,54.907100970017616
y_t+60min,2,9,ACI,0.002,1.0,0.8814814814814815,35.539865608465625,56.04375258671371
y_t+60min,2,9,ACI,0.005,1.0,0.8740740740740741,35.045602513227514,56.15797170781893
y_t+60min,2,9,ACI,0.01,1.0,0.8740740740740741,35.026894694297475,56.24610574661963
y_t+60min,2,9,ACI,0.02,1.0,0.8740740740740741,39.24977502939447,59.02037570546736
y_t+60min,2,9,ACI,0.05,1.0,0.8740740740740741,40.15154710125265,56.462830023063354
y_t+60min,2,9,ACI,0.1,1.0,0.8666666666666667,40.82974612219057,60.70897275358387
y_t+60min,2,10,split-CP,,,0.9555555555555556,20.775283730158723,23.60299801587301
y_t+60min,2,10,ACI,0.002,1.0,0.9333333333333333,19.577388589599696,22.768203872053864
y_t+60min,2,10,ACI,0.005,1.0,0.9333333333333333,19.22751068489124,22.62100071749238
y_t+60min,2,10,ACI,0.01,1.0,0.9259259259259259,18.883660670194,22.526344118433002
y_t+60min,2,10,ACI,0.02,1.0,0.9111111111111111,18.35073812463257,22.575742707498254
y_t+60min,2,10,ACI,0.05,1.0,0.9037037037037037,17.94236623510235,22.89521517422906
y_t+60min,2,10,ACI,0.1,1.0,0.8962962962962963,21.617198844262735,25.900906516220402
y_t+60min,2,11,split-CP,,,0.8814814814814815,97.4987579365079,144.39887551440327
y_t+60min,2,11,ACI,0.002,1.0,0.9259259259259259,110.96277899764844,144.0681512786596
y_t+60min,2,11,ACI,0.005,1.0,0.9185185185185185,108.41406189006466,145.34854513521464
y_t+60min,2,11,ACI,0.01,1.0,0.9111111111111111,105.26252413286299,147.40944300411525
