facility_id,horizon,model,MAE,RMSE
29,y_t+30min,persistence,33.88255033557047,40.108765715842246
29,y_t+30min,RF-absolute,43.081883966471594,55.80855897328205
29,y_t+60min,RF-delta,47.246634725732875,60.02514317466796
29,y_t+60min,persistence,65.6258389261745,75.25562979230352
29,y_t+60min,RF-absolute,63.94962945974608,82.51970503635665
29,y_t+90min,RF-delta,64.93877325446176,81.27682790378924
29,y_t+90min,persistence,92.36290480443097,105.20074484832244
29,y_t+90min,RF-absolute,83.24880372808005,109.90339901933706
30,y_t+30min,RF-delta,22.524099774107324,30.348679223513212
30,y_t+30min,persistence,44.59228187919463,55.27360636327871
30,y_t+30min,RF-absolute,49.19875172082768,63.60874711320054
30,y_t+60min,RF-delta,40.63653523066233,52.98988289971918
30,y_t+60min,persistence,89.32885906040268,110.38934679535902
30,y_t+60min,RF-absolute,65.00180281724242,87.47658311207027
30,y_t+90min,RF-delta,54.42485621744595,71.70879202505189
30,y_t+90min,persistence,130.82163775528613,158.47007629106113
30,y_t+90min,RF-absolute,77.01944855731709,104.63109957540203
