facility_id,dynamic,partition,cell,method,PICP,MPIW,n_cell,cramers_v_vs_tod,degenerate
3,True,time_of_day,night,ACI,0.9754385964912281,13.071654627309012,285,1.0,False
3,True,time_of_day,am_rush,ACI,0.8125,12.926333256924403,192,1.0,False
3,True,time_of_day,midday,ACI,0.86,15.129042214415213,250,1.0,False
3,True,time_of_day,pm_rush,ACI,0.8362573099415205,25.071935185536795,171,1.0,False
3,True,time_of_day,evening,ACI,0.9658119658119658,22.475008563453013,117,1.0,False
3,True,time_of_day,night,ToD-ACI,0.8947368421052632,6.109614373897702,285,1.0,False
3,True,time_of_day,am_rush,ToD-ACI,0.8802083333333334,18.592858084190116,192,1.0,False
3,True,time_of_day,midday,ToD-ACI,0.904,17.537150526103524,250,1.0,False
3,True,time_of_day,pm_rush,ToD-ACI,0.9005847953216374,31.18778963331448,171,1.0,False
3,True,time_of_day,evening,ToD-ACI,0.905982905982906,14.04949029982363,117,1.0,False
3,True,day_of_week,Sat,split-CP,0.856,16.966905718133717,250,0.1528295627562024,False
3,True,day_of_week,Sun,split-CP,0.944,17.303497354497356,250,0.1528295627562024,False
3,True,day_of_week,Mon,split-CP,0.8993055555555556,15.771800890852973,288,0.1528295627562024,False
3,True,day_of_week,Tue,split-CP,0.9030837004405287,15.734582896178708,227,0.1528295627562024,False
3,True,day_of_week,Sat,Mondrian-split-CP,0.832,15.602453607022605,250,0.1528295627562024,False
3,True,day_of_week,Sun,Mondrian-split-CP,0.94,16.269008761904768,250,0.1528295627562024,False
3,True,day_of_week,Mon,Mondrian-split-CP,0.9097222222222222,14.812163682960557,288,0.1528295627562024,False
3,True,day_of_week,Tue,Mondrian-split-CP,0.8986784140969163,13.934257298318421,227,0.1528295627562024,False
3,True,day_of_week,Sat,ACI,0.88,19.41791586964887,250,0.1528295627562024,False
3,True,day_of_week,Sun,ACI,0.928,14.713649012987014,250,0.1528295627562024,False
3,True,day_of_week,Mon,ACI,0.8784722222222222,15.72860835621426,288,0.1528295627562024,False
3,True,day_of_week,Tue,ACI,0.8810572687224669,16.932531273649666,227,0.1528295627562024,False
