req,policy,assigned,dist,overflow
550,POINT,20,0.12670648564522866,0
551,POINT,16,0.18757390879846325,0
552,POINT,7,5.603049888547668,0
553,POINT,12,1.5461123225596356,0
554,POINT,8,0.5722135927750415,0
555,POINT,20,0.13574937119095884,0
556,POINT,12,2.654015145760868,0
557,POINT,22,0.6539676787221735,0
558,POINT,20,0.46297231018609064,0
559,POINT,8,0.8656821203968832,0
560,POINT,8,0.4217409441493868,1
561,POINT,22,3.270439975167564,0
562,POINT,14,2.9226075588769636,0
563,POINT,19,0.2782302528040872,0
564,POINT,23,0.06817202912704798,0
565,POINT,19,1.2791323596042716,0
566,POINT,22,4.608179944180768,0
567,POINT,19,0.7579272317005035,0
568,POINT,8,0.26176922020898585,1
569,POINT,19,0.5497543713503172,0
570,POINT,18,3.859091060932392,0
571,POINT,16,0.41002683280800306,0
572,POINT,23,2.910056057703673,0
573,POINT,9,0.21889660236175526,0
574,POINT,9,2.836944427521937,0
575,POINT,22,5.90440212819709,0
576,POINT,23,0.32853266716777896,0
577,POINT,8,0.6116212078774428,1
578,POINT,16,0.34596644997641157,0
579,POINT,20,0.6082883774610369,0
580,POINT,8,0.47151980080249933,1
581,POINT,20,0.27427813736802625,0
582,POINT,7,6.217186708913683,0
583,POINT,9,0.46987595044034364,0
584,POINT,8,0.39833680575382746,1
585,POINT,23,0.34754917463794166,0
586,POINT,23,0.312120049320863,0
587,POINT,23,0.2436282649419779,0
588,POINT,23,0.2630339374686129,0
589,POINT,20,0.792061210906829,0
590,POINT,9,0.44341510318223276,0
591,POINT,20,4.682885628550035,0
592,POINT,9,0.7397049085891495,0
593,POINT,23,0.45265313719419553,0
594,POINT,23,5.007188195247832,0
595,POINT,14,1.0325989732724103,0
596,POINT,4,0.09556665333730459,0
597,POINT,19,0.31026461779426806,0
598,POINT,19,0.21540113806620434,0
599,POINT,23,0.4367850779813581,0
0,INTERVAL,7,1.531738801928011,0
1,INTERVAL,20,0.2467991107856251,0
2,INTERVAL,9,1.050250890657919,0
3,INTERVAL,23,1.1860943407475892,0
4,INTERVAL,22,2.440309545641084,0
5,INTERVAL,8,0.17170902655351952,0
6,INTERVAL,19,0.4514851694124212,0
7,INTERVAL,20,0.6498068540097697,0
8,INTERVAL,19,0.8359184078988771,0
9,INTERVAL,23,0.49630983791699756,0
10,INTERVAL,19,0.4741456113349256,0
11,INTERVAL,20,0.3991763810058924,0
12,INTERVAL,23,0.36793809445705483,0
13,INTERVAL,9,0.3094732276974952,0
14,INTERVAL,23,0.1569892798584992,0
15,INTERVAL,19,0.6830207079739481,0
16,INTERVAL,19,0.7607204693241255,0
17,INTERVAL,12,1.2437780266087948,0
18,INTERVAL,11,0.26470633560618373,0
19,INTERVAL,4,0.2607958603037686,0
20,INTERVAL,18,2.586704324370692,0
21,INTERVAL,23,0.535794865592161,0
22,INTERVAL,19,0.44567028061784625,0
23,INTERVAL,23,0.16102336533483153,0
24,INTERVAL,22,4.232633846400148,0
25,INTERVAL,18,1.2872994829303828,0
26,INTERVAL,7,4.328471768127162,0
27,INTERVAL,23,0.43520953926616496,0
28,INTERVAL,9,0.19684659755708678,0
29,INTERVAL,16,0.33068107269526353,0
30,INTERVAL,9,2.3743724603355245,0
31,INTERVAL,23,0.8235731237533743,0
32,INTERVAL,7,1.8762801743671702,0
33,INTERVAL,7,6.329802983710483,0
34,INTERVAL,9,0.60991380501659,0
35,INTERVAL,19,0.14685353070892676,0
36,INTERVAL,23,0.5217225206879228,0
37,INTERVAL,7,5.2977402572106405,0
38,INTERVAL,19,0.6208614349787362,0
39,INTERVAL,22,3.683959146629793,0
40,INTERVAL,9,0.258200594036706,0
41,INTERVAL,22,2.871911400064379,0
42,INTERVAL,7,2.4690609059872037,0
43,INTERVAL,23,0.3637699953488568,0
44,INTERVAL,17,2.6323722221355137,0
45,INTERVAL,7,2.3531054329992975,0
46,INTERVAL,23,4.821989356144021,0
47,INTERVAL,9,0.30568203819510087,0
48,INTERVAL,9,0.46078711481713186,0
49,INTERVAL,19,0.43757216976694546,0
50,INTERVAL,19,0.6156483168735117,0
51,INTERVAL,19,0.3454966337505039,0
52,INTERVAL,20,0.3655140156904525,0
53,INTERVAL,19,0.42406416698595706,0
54,INTERVAL,19,0.7538914495231327,0
55,INTERVAL,16,0.5505699230885245,0
56,INTERVAL,7,0.5521823385704269,0
57,INTERVAL,15,0.948272407361753,0
58,INTERVAL,9,0.40746164216139497,0
