fold,facility_id,method,PICP,MPIW,Winkler,n_test
F2,2,split-CP,0.9136690647482014,21.60958333333332,28.99827969053329,695
F2,2,ACI,0.902158273381295,22.77544560265208,31.367675789065718,695
F2,2,CQR,0.9136690647482014,18.240367858303415,24.287428130150662,695
F2,2,ACQR,0.897841726618705,20.37649230100376,27.82626537500245,695
F2,3,split-CP,0.879136690647482,17.067200619763923,30.679900023877003,695
F2,3,ACI,0.9007194244604316,19.623177815496526,27.84518818642056,695
F2,3,CQR,0.8733812949640288,14.996100301241716,28.325223268899798,695
F2,3,ACQR,0.8992805755395683,19.626439623361424,28.441973452978704,695
F2,4,split-CP,0.8935251798561151,24.39301204465,35.93231211974145,695
F2,4,ACI,0.9007194244604316,28.063674099248736,40.286550136081615,695
F2,4,CQR,0.9280575539568345,21.51906796669552,32.90344650860331,695
F2,4,ACQR,0.8992805755395683,28.03873018185465,38.82178835821852,695
F2,5,split-CP,0.9165467625899281,15.233817460317473,19.939863952993456,695
F2,5,ACI,0.902158273381295,15.590692153636395,20.6749703778103,695
F2,5,CQR,0.874820143884892,12.974324589607983,18.920583875808564,695
F2,5,ACQR,0.902158273381295,19.645635602795124,23.0980497554063,695
F2,6,split-CP,0.9223021582733812,10.203425134178373,15.902887183586467,695
F2,6,ACI,0.8992805755395683,12.622476877026516,16.20229961277731,695
F2,6,CQR,0.9223021582733812,9.333366679866879,14.483395755142665,695
F2,6,ACQR,0.8992805755395683,11.857583770475484,15.54818043542116,695
F2,7,split-CP,0.8517985611510791,44.64282142857144,85.75738981715062,695
F2,7,ACI,0.9035971223021583,62.0020344098747,82.41111206722935,695
F2,7,CQR,0.8474820143884892,41.719196657073674,67.57473600986232,695
F2,7,ACQR,0.9035971223021583,56.162181962717845,68.91475351463494,695
F2,8,split-CP,0.1683453237410072,20.23533696661718,257.97622891972156,695
F2,8,ACI,0.920863309352518,52.1126550778425,61.489260288911744,695
F2,8,CQR,1.0,39.83041478236721,39.83041478236721,695
F2,8,ACQR,0.9151079136690647,36.382082810351065,36.66134159515256,695
F2,9,split-CP,0.7568345323741007,5.533626984127295,19.81031423865191,695
F2,9,ACI,0.9035971223021583,10.925531047542927,13.055371412480374,695
F2,9,CQR,0.8129496402877698,5.868083198396809,13.20174956416051,695
F2,9,ACQR,0.902158273381295,9.979713904533662,11.914566197945968,695
F2,11,split-CP,0.8762589928057554,6.333350960097724,13.326840500932589,695
