arm,facility_id,cap_train,n_test,onset_index,n_pre_onset,n_post_onset,pre_onset_frac_withdrawn_interval,pre_onset_frac_withdrawn_point,withdrawn_at_last_pre_onset_slot_interval,withdrawn_at_last_pre_onset_slot_point,step_interval,step_point,lead_time_steps,minutes_interval,minutes_point,post_onset_frac_withdrawn_interval,post_onset_frac_withdrawn_point,persists_interval,persists_point,mean_U_post,mean_yhat_post,injected_value,med_train,gamma,overshoot_frac_of_cap
none,17,64.0,1015,428,428,587,0.1238,0.0,0,0,90,91,1,450,455,0.1397,0.0068,0,0,42.4088,37.9159,,38.0,0.02,
implausible,17,64.0,1015,428,428,587,0.1238,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,108.0082,106.324,107.3216,38.0,0.02,1.6769
plausible,17,64.0,1015,428,428,587,0.1238,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,39.7597,36.9581,38.0,38.0,0.02,0.5938
none,18,84.0,1015,428,428,587,0.0234,0.0023,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,65.219,61.3132,,73.0,0.01,
implausible,18,84.0,1015,428,428,587,0.0234,0.0023,0,0,0,0,0,0,0,1.0,1.0,1,1,141.35,137.3554,140.8596,73.0,0.01,1.6769
plausible,18,84.0,1015,428,428,587,0.0234,0.0023,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,73.6929,69.9277,73.0,73.0,0.01,0.869
none,19,86.0,1015,428,428,587,0.035,0.0187,0,0,353,354,1,1765,1770,0.0392,0.017,0,0,50.9547,45.4949,,52.0,0.05,
implausible,19,86.0,1015,428,428,587,0.035,0.0187,0,0,0,0,0,0,0,1.0,1.0,1,1,145.322,143.0514,144.2134,52.0,0.05,1.6769
plausible,19,86.0,1015,428,428,587,0.035,0.0187,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,55.1092,52.0658,52.0,52.0,0.05,0.6047
none,20,66.0,1015,428,428,587,0.0,0.0,0,0,332,373,41,1660,1865,0.0136,0.0017,0,0,46.1824,42.1916,,54.3333,0.02,
implausible,20,66.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,111.5322,109.3396,110.6754,54.3333,0.02,1.6769
plausible,20,66.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,57.1836,55.3331,54.3333,54.3333,0.02,0.8232
none,21,69.3333,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,52.3583,48.6818,,46.5,0.005,
implausible,21,69.3333,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,117.5341,114.9904,116.2651,46.5,0.005,1.6769
plausible,21,69.3333,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,49.1444,47.2964,46.5,46.5,0.005,0.6707
none,22,245.0,1015,428,428,587,0.0,0.0023,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,139.7044,133.808,,189.0,0.01,
implausible,22,245.0,1015,428,428,587,0.0,0.0023,0,0,0,0,0,0,0,1.0,1.0,1,1,411.6814,398.5061,410.8405,189.0,0.01,1.6769
plausible,22,245.0,1015,428,428,587,0.0,0.0023,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,190.08,187.8832,189.0,189.0,0.01,0.7714
none,23,170.0,1015,428,428,587,0.0701,0.014,1,0,0,70,70,0,350,0.0579,0.0034,0,0,136.0434,132.2668,,152.0,0.02,
implausible,23,170.0,1015,428,428,587,0.0701,0.014,1,0,0,0,0,0,0,1.0,1.0,1,1,286.0846,284.7884,285.073,152.0,0.02,1.6769
plausible,23,170.0,1015,428,428,587,0.0701,0.014,1,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,153.3499,152.3044,152.0,152.0,0.02,0.8941
