facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler
16,True,y_t+30min,0.9,ACI,0.8904109589041096,37.31812843824745,53.14053874483582
16,True,y_t+30min,0.95,split-CP,0.958904109589041,58.66545039682541,65.79066076864535
16,True,y_t+30min,0.95,ACI,0.9452054794520548,53.93002860676234,67.24630334040006
16,True,y_t+60min,0.9,split-CP,0.8972602739726028,58.06103571428571,93.20264068275713
16,True,y_t+60min,0.9,ACI,0.8767123287671232,64.79609408418827,84.43016657277273
16,True,y_t+60min,0.95,split-CP,0.958904109589041,88.40869841269841,116.73240601217654
16,True,y_t+60min,0.95,ACI,0.9315068493150684,104.91937489128071,126.82374975538157
16,True,y_t+90min,0.9,split-CP,0.8904109589041096,76.17108333333336,123.10902222933566
16,True,y_t+90min,0.9,ACI,0.8904109589041096,82.9315043904685,118.1029240691999
16,True,y_t+90min,0.95,split-CP,0.9452054794520548,112.19186706349205,154.63233401106473
16,True,y_t+90min,0.95,ACI,0.9383561643835616,134.080487488542,161.76689048550836
17,True,y_t+30min,0.9,split-CP,0.9224806201550387,21.896571428571406,27.09950202187992
17,True,y_t+30min,0.9,ACI,0.8992248062015504,24.056105539056126,29.06358748755552
17,True,y_t+30min,0.95,split-CP,0.9534883720930233,28.744285714285752,30.76843702808822
17,True,y_t+30min,0.95,ACI,0.9457364341085271,28.199188124321868,32.29926086166205
17,True,y_t+60min,0.9,split-CP,0.8992248062015504,34.41867857142847,45.55981584393212
17,True,y_t+60min,0.9,ACI,0.8914728682170543,40.584548518126994,48.34954221198696
17,True,y_t+60min,0.95,split-CP,0.9069767441860465,38.98861111111114,52.13443032204656
17,True,y_t+60min,0.95,ACI,0.9534883720930233,46.89431520912334,56.831598507220605
17,True,y_t+90min,0.9,split-CP,0.9224806201550387,43.749190476190506,60.91281840854597
17,True,y_t+90min,0.9,ACI,0.9069767441860465,46.20755218895315,63.720097292244134
17,True,y_t+90min,0.95,split-CP,0.937984496124031,55.91940821812591,73.08378551106166
17,True,y_t+90min,0.95,ACI,0.9534883720930233,58.326377618486184,80.51601952578503
18,True,y_t+30min,0.9,split-CP,0.9530201342281879,41.190107142857194,45.748263502716554
18,True,y_t+30min,0.9,ACI,0.8926174496644296,34.772545325014285,45.81238113517728
18,True,y_t+30min,0.95,split-CP,0.9798657718120806,49.57770833333325,53.961056048258186
18,True,y_t+30min,0.95,ACI,0.9463087248322147,40.18583752675365,55.740542171475056
18,True,y_t+60min,0.9,split-CP,0.959731543624161,62.16932142857149,68.98887852881649
18,True,y_t+60min,0.9,ACI,0.8926174496644296,49.25760815126337,62.62519324234674
18,True,y_t+60min,0.95,split-CP,0.9865771812080537,82.46263095238099,84.99029953659318
18,True,y_t+60min,0.95,ACI,0.9463087248322147,61.53745004091733,77.81169926857254
18,True,y_t+90min,0.9,split-CP,0.8926174496644296,65.07129861111113,89.4557578471664
18,True,y_t+90min,0.9,ACI,0.8926174496644296,65.67142575598368,87.6568322346387
18,True,y_t+90min,0.95,split-CP,0.9932885906040269,114.36544201228892,114.55024447012819
18,True,y_t+90min,0.95,ACI,0.9395973154362416,82.72630375610056,100.54507745291738
19,True,y_t+30min,0.9,split-CP,0.8993288590604027,230.78416071428583,315.25907269361903
19,True,y_t+30min,0.9,ACI,0.8926174496644296,238.93239823692343,330.5558531479708
19,True,y_t+30min,0.95,split-CP,0.9463087248322147,272.64211904761936,373.1140797379354
19,True,y_t+30min,0.95,ACI,0.9463087248322147,284.72332046979875,386.71530326515386
19,True,y_t+60min,0.9,split-CP,0.8926174496644296,425.44630952380976,549.1280534249494
19,True,y_t+60min,0.9,ACI,0.8993288590604027,415.8187835969958,581.120461316182
19,True,y_t+60min,0.95,split-CP,0.9530201342281879,501.52230952380984,655.1900686587835
19,True,y_t+60min,0.95,ACI,0.9463087248322147,574.7343683818045,758.6299931820602
19,True,y_t+90min,0.9,split-CP,0.8859060402684564,560.129403001792,710.4314248867022
19,True,y_t+90min,0.9,ACI,0.9060402684563759,621.7326586946849,743.7469843333519
19,True,y_t+90min,0.95,split-CP,0.912751677852349,622.6242820055357,794.769153041544
19,True,y_t+90min,0.95,ACI,0.9463087248322147,759.65606622596,863.4298406521722
20,True,y_t+30min,0.9,split-CP,1.0,47.38841666666667,47.38841666666667
20,True,y_t+30min,0.9,ACI,0.8777777777777778,24.556035405643748,33.05210022045852
20,True,y_t+30min,0.95,split-CP,1.0,59.49530158730158,59.49530158730158
20,True,y_t+30min,0.95,ACI,0.9444444444444444,33.507556812169305,44.357138822751274
20,True,y_t+60min,0.9,split-CP,1.0,85.34624999999998,85.34624999999998
20,True,y_t+60min,0.9,ACI,0.8888888888888888,50.58912279541447,60.339558421516735
20,True,y_t+60min,0.95,split-CP,1.0,133.9293253968254,133.9293253968254
20,True,y_t+60min,0.95,ACI,0.9444444444444444,66.62092956349206,82.35616765873013
20,True,y_t+90min,0.9,split-CP,1.0,128.33967989151304,128.33967989151304
20,True,y_t+90min,0.9,ACI,0.8888888888888888,65.61664651345117,90.6902639422792
20,True,y_t+90min,0.95,split-CP,1.0,196.54683333333332,196.54683333333332
20,True,y_t+90min,0.95,ACI,0.9444444444444444,101.95473005839199,116.10167181297042
22,True,y_t+30min,0.9,split-CP,0.9888888888888889,38.56975,38.73252645502646
22,True,y_t+30min,0.9,ACI,0.8888888888888888,25.466019715007214,30.700282281144762
22,True,y_t+30min,0.95,split-CP,1.0,67.1233869047619,67.1233869047619
22,True,y_t+30min,0.95,ACI,0.9444444444444444,43.327594286115115,48.09736981922395
22,True,y_t+60min,0.9,split-CP,1.0,84.66492261904762,84.66492261904762
22,True,y_t+60min,0.9,ACI,0.8888888888888888,45.39020263147346,59.990081840227674
22,True,y_t+60min,0.95,split-CP,1.0,116.06115873015875,116.06115873015875
22,True,y_t+60min,0.95,ACI,0.9444444444444444,69.33380103615521,77.80761673280428
22,True,y_t+90min,0.9,split-CP,0.9666666666666667,104.3015855649092,106.97278522313073
22,True,y_t+90min,0.9,ACI,0.8777777777777778,69.5280478372991,96.27627553545312
22,True,y_t+90min,0.95,split-CP,1.0,177.1180562532002,177.1180562532002
