policy,seed,n_requests,n_assigned,assigned_rate,overflow_rate,unserved_or_overflow_rate,mean_straight_line_km,p90_straight_line_km,window,n_base,n_slots,excluded,margin_m,anchor,distinct_min,distinct_next
MARGIN,5,600,600,1.0,0.0,0.0,1.3995509160853798,3.4418659164321266,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,6,600,600,1.0,0.0,0.0,1.0959555174650488,3.094806475747783,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,6,600,600,1.0,0.0,0.0,1.1734392546303238,3.242323038278271,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,6,600,600,1.0,0.0,0.0,1.3990590785107633,3.3365900585785173,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,7,600,600,1.0,0.0,0.0,1.1456732571092927,3.3871135095772305,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,7,600,600,1.0,0.0,0.0,1.1970255052250647,3.4993139884379385,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,7,600,600,1.0,0.0,0.0,1.46942181444858,3.5235885070268904,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,8,600,600,1.0,0.0,0.0,1.0834267519407024,3.056834583790935,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,8,600,600,1.0,0.0,0.0,1.132023683316971,3.0619050787431017,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,8,600,600,1.0,0.0,0.0,1.426282865082322,3.284934594956812,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,9,600,600,1.0,0.0,0.0,1.1039587883477298,2.96686893456356,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,9,600,600,1.0,0.0,0.0,1.1726217052648735,3.1230451224246125,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,9,600,600,1.0,0.0,0.0,1.4224518907472665,3.2813717600785144,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,10,600,600,1.0,0.0,0.0,1.0870548405079312,3.1322098076698897,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,10,600,600,1.0,0.0,0.0,1.1352289978158474,3.256294586126856,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,10,600,600,1.0,0.0,0.0,1.3810974184621554,3.4145019957167047,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,11,600,600,1.0,0.0,0.0,1.0283980122757241,2.9063694656886794,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,11,600,600,1.0,0.0,0.0,1.0642941334544587,2.9531520205537936,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,11,600,600,1.0,0.0,0.0,1.3907080839887098,3.1508344224171476,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,12,600,600,1.0,0.0,0.0,1.158653938952232,3.3618548489984335,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,12,600,600,1.0,0.0,0.0,1.2069804439463179,3.4525373696353046,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,12,600,600,1.0,0.0,0.0,1.4714688613482028,3.63843220969674,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,13,600,600,1.0,0.0,0.0,1.1231649945269153,3.0955708906011483,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,13,600,600,1.0,0.0,0.0,1.1722224333926827,3.2376536330356562,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,13,600,600,1.0,0.0,0.0,1.471039415332295,3.4173247317477022,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,14,600,600,1.0,0.0,0.0,1.1997603347017558,3.477889517576892,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,14,600,600,1.0,0.0,0.0,1.2575979016253023,3.5560481989333166,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,14,600,600,1.0,0.0,0.0,1.5127472937414739,3.678601836233356,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,15,600,600,1.0,0.0,0.0,1.082489024174729,3.1245803546186997,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,15,600,600,1.0,0.0,0.0,1.1315414962519883,3.188141323303499,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
