facility_id,dynamic,base,level,method,PICP,MPIW,Winkler,MAE,gamma,gamma_calB_picp,n_cal_b,degenerate,cal_score_max,n_test,n_cal
6,True,RandomForest,0.9,split-CP,0.8945812807881773,8.478773809523801,14.968359711944684,2.0997504768539255,,,,False,8.924736111111116,1015,760
6,True,RandomForest,0.9,ACI,0.8935960591133005,9.508412317521923,15.180987951885736,2.0997504768539255,0.02,0.8947368421052632,380.0,False,8.924736111111116,1015,760
6,True,RandomForest,0.95,split-CP,0.9349753694581281,10.664665255297516,20.03145350372123,2.0997504768539255,,,,False,8.924736111111116,1015,760
6,True,RandomForest,0.95,ACI,0.9399014778325123,12.77764738920995,20.32834256048639,2.0997504768539255,0.02,0.9421052631578948,380.0,False,8.924736111111116,1015,760
6,True,GradBoost,0.9,split-CP,0.8807881773399014,8.96363308564942,15.806490889475167,2.2576750032721646,,,,False,10.903531302074558,1015,760
6,True,GradBoost,0.9,ACI,0.8926108374384236,9.680758784795952,15.114109627060836,2.2576750032721646,0.02,0.9,380.0,False,10.903531302074558,1015,760
6,True,GradBoost,0.95,split-CP,0.9241379310344827,10.708193894707666,21.116526913776248,2.2576750032721646,,,,False,10.903531302074558,1015,760
6,True,GradBoost,0.95,ACI,0.9428571428571428,12.435495943936434,19.890342025820534,2.2576750032721646,0.02,0.9447368421052632,380.0,False,10.903531302074558,1015,760
6,True,Ridge(linear),0.9,split-CP,0.903448275862069,9.206474480225145,15.032769866708541,2.135733048382347,,,,False,9.844557618185348,1015,760
6,True,Ridge(linear),0.9,ACI,0.8896551724137931,9.938389690811164,15.243715735649726,2.135733048382347,0.05,0.8921052631578947,380.0,False,9.844557618185348,1015,760
6,True,Ridge(linear),0.95,split-CP,0.9399014778325123,10.902179109523164,20.073502612288216,2.135733048382347,,,,False,9.844557618185348,1015,760
6,True,Ridge(linear),0.95,ACI,0.9408866995073891,13.57007425016247,20.969270836133024,2.135733048382347,0.02,0.9421052631578948,380.0,False,9.844557618185348,1015,760
7,True,RandomForest,0.9,split-CP,0.8364532019704434,47.24847222222223,90.93409319976685,12.521545496662615,,,,False,62.702277777777766,1015,760
7,True,RandomForest,0.9,ACI,0.8926108374384236,65.08852865045009,87.34360891473972,12.521545496662615,0.02,0.8947368421052632,380.0,False,62.702277777777766,1015,760
7,True,RandomForest,0.95,split-CP,0.8817733990147784,57.54719047619051,114.86490090205355,12.521545496662615,,,,False,62.702277777777766,1015,760
7,True,RandomForest,0.95,ACI,0.9467980295566503,81.05978184483826,103.00835835116351,12.521545496662615,0.01,0.9473684210526315,380.0,False,62.702277777777766,1015,760
