facility_id,dynamic,horizon,model,MAE,RMSE,n_test
10,False,y_t+15min,RF-absolute,1.0703760047697242,1.7904817404068107,1015
10,False,y_t+30min,RF-delta,0.8636395713739109,1.2873925438425342,1012
10,False,y_t+30min,persistence,0.739459815546772,1.2183408446334876,1012
10,False,y_t+30min,RF-absolute,1.3184910687747555,2.0879100754246886,1012
11,True,y_t+5min,RF-delta,0.6810831929824064,1.1464771770858622,1017
11,True,y_t+5min,persistence,0.6447066535562112,1.2955773630294911,1017
11,True,y_t+5min,RF-absolute,1.3116824086271004,2.0834461003881013,1017
11,True,y_t+15min,RF-delta,1.3842364557582536,2.46556928413466,1015
11,True,y_t+15min,persistence,1.5267651888341542,3.1588573658350265,1015
11,True,y_t+15min,RF-absolute,2.1613616154553363,3.4455269333369443,1015
11,True,y_t+30min,RF-delta,2.287346146863421,4.349875581039631,1012
11,True,y_t+30min,persistence,2.766822764507075,5.697256802722381,1012
11,True,y_t+30min,RF-absolute,3.297277224280841,5.450692765660533,1012
12,True,y_t+5min,RF-delta,1.5239961455065931,2.5893705020761377,1017
12,True,y_t+5min,persistence,1.40396591281547,2.4049561430592115,1017
12,True,y_t+5min,RF-absolute,3.238743763433664,6.063270920443935,1017
12,True,y_t+15min,RF-delta,3.478488632877796,5.9775753577444055,1015
12,True,y_t+15min,persistence,3.3195402298850576,5.603838898430444,1015
12,True,y_t+15min,RF-absolute,5.08998969029967,9.17384767551361,1015
12,True,y_t+30min,RF-delta,5.881912064590858,10.102154462606364,1012
12,True,y_t+30min,persistence,5.551289239273644,9.35990583246067,1012
12,True,y_t+30min,RF-absolute,7.222541772665491,12.994482085960186,1012
13,True,y_t+5min,RF-delta,1.699786781756793,3.008777796165655,1017
13,True,y_t+5min,persistence,3.078334972140281,6.1000615221145456,1017
13,True,y_t+5min,RF-absolute,3.6158016775187263,7.16866546063572,1017
13,True,y_t+15min,RF-delta,3.869966092368676,7.028076063917092,1015
13,True,y_t+15min,persistence,8.804597701149424,17.35400434728552,1015
13,True,y_t+15min,RF-absolute,5.70274110644419,10.981585812993462,1015
13,True,y_t+30min,RF-delta,6.3360037571279975,11.213590350534572,1012
13,True,y_t+30min,persistence,17.067510167840982,33.368531226126,1012
13,True,y_t+30min,RF-absolute,7.719953349073876,14.586890123447992,1012
14,True,y_t+5min,RF-delta,2.252305887928306,3.1821823929368733,1017
14,True,y_t+5min,persistence,2.6083251392985907,3.830535652734184,1017
14,True,y_t+5min,RF-absolute,4.534023938560075,6.162045995584763,1017
14,True,y_t+15min,RF-delta,5.254297550214791,7.219669936598496,1015
14,True,y_t+15min,persistence,6.958949096880131,9.78343494602921,1015
14,True,y_t+15min,RF-absolute,7.490197402383235,10.334352992003224,1015
