dataset,facility_id,method,in_published_base,PICP_before,PICP_after,dPICP,MPIW_before,MPIW_after,Winkler_before,Winkler_after,rel_dWinkler
belgrade,20,NGBoost-conformal,True,0.9517241379310344,0.9517241379310344,0.0,8.630436811681312,8.62765156725729,10.044224549013846,10.02226327007024,0.0021864583807777783
belgrade,21,NGBoost,True,0.812807881773399,0.812807881773399,0.0,5.417532498094245,5.417179555775934,14.166115594487398,14.2444935246043,0.0055023318295958565
belgrade,21,NGBoost-conformal,True,0.8995073891625616,0.8975369458128079,-0.0019704433497537144,7.50325328672021,7.572138169522292,13.369504606955688,13.42514744387487,0.004144672313790368
belgrade,22,NGBoost,True,0.8689655172413793,0.8660098522167488,-0.002955665024630516,8.300416797247385,8.299625798091396,15.4826848663112,15.460283837479626,0.0014468439437346134
belgrade,22,NGBoost-conformal,True,0.9142857142857144,0.9123152709359604,-0.0019704433497539364,9.909671920010316,9.909035009385857,15.387822935310917,15.338047454504077,0.0032347318406308586
belgrade,23,NGBoost,True,0.8147783251231527,0.8157635467980295,0.0009852216748768017,4.47106391948737,4.4713162971403815,9.510479452193,9.50732201713578,0.00033199536081141104
belgrade,23,NGBoost-conformal,True,0.9083743842364532,0.9083743842364532,0.0,6.154519972601612,6.131593125314841,9.02713568932175,9.025446949615272,0.00018707370361948958
belgrade,24,NGBoost,True,0.7359605911330049,0.7300492610837438,-0.005911330049261143,3.3286047988462344,3.341287648819319,11.7626657910222,11.779625182717693,0.0014397225236312031
belgrade,24,NGBoost-conformal,True,0.8788177339901477,0.8768472906403941,-0.0019704433497536034,5.17704144707698,5.163791634261644,10.271782494308557,10.250117402509638,0.002109185217942795
birmingham,1,NGBoost,True,0.3037037037037037,0.3333333333333333,0.029629629629629617,18.141272864268,18.238089633671844,217.20965628664868,217.95885853579225,0.003437356270704336
birmingham,1,NGBoost-conformal,True,0.925925925925926,0.9333333333333332,0.007407407407407196,74.51759287584312,78.17961543620264,95.47499234477696,96.47229632835628,0.010337724108741621
birmingham,2,NGBoost,True,0.3620689655172414,0.3620689655172414,0.0,13.049712318132888,13.134531598155132,240.42750218941384,238.2707527641332,0.008970477194333278
birmingham,2,NGBoost-conformal,True,0.8448275862068966,0.8448275862068966,0.0,54.82913415977767,53.288442360015935,152.51813518488865,151.1344762614527,0.009072094421811661
birmingham,3,NGBoost,True,0.2440944881889764,0.2519685039370078,0.007874015748031427,17.481056742473612,17.611556087506955,372.5962500242765,378.53143272584265,0.015679497628047136
birmingham,3,NGBoost-conformal,True,0.905511811023622,0.905511811023622,0.0,105.88325019543392,106.01374954046727,169.3422957714875,170.9254146764604,0.009262045132197248
birmingham,4,NGBoost,True,0.1333333333333333,0.1185185185185185,-0.014814814814814808,9.829092627905665,9.839216876760103,256.546353941429,253.6307812066312,0.011364701505223626
birmingham,4,NGBoost-conformal,True,0.8518518518518519,0.8518518518518519,0.0,60.83532050595138,59.90347551518559,80.13558569926441,80.13398691310914,1.9951013539355464e-05
birmingham,5,NGBoost,True,0.3455882352941176,0.3382352941176471,-0.007352941176470507,30.47969800588443,30.09593369263144,585.0491437616474,589.67922150226,0.007851858386356329
birmingham,5,NGBoost-conformal,True,0.9338235294117648,0.9338235294117648,0.0,219.27334046339564,223.5086546976363,267.34334379310013,271.03276359956845,0.013612449496767027
birmingham,6,NGBoost,True,0.2573529411764705,0.2426470588235294,-0.014705882352941096,32.09078576833804,32.1186971035108,781.1163753832197,786.5486643380522,0.006906488054879797
birmingham,6,NGBoost-conformal,True,0.8602941176470589,0.8602941176470589,0.0,213.1863108599548,213.13317254193947,339.72883928462085,340.4845576088296,0.00221953773620767
birmingham,7,NGBoost,True,0.25,0.2352941176470588,-0.014705882352941207,17.83020265469889,17.8809783818438,306.0693796910284,307.5470195880721,0.004804598331087134
birmingham,7,NGBoost-conformal,True,0.8529411764705882,0.8455882352941176,-0.007352941176470562,85.49779742738353,85.54857315452855,119.443980308919,119.52671600196378,0.0006921941454780929
birmingham,9,NGBoost,True,0.562962962962963,0.5777777777777777,0.014814814814814725,15.655529397663187,15.590429810124098,96.60353492443596,96.65387739450438,0.000520853083450922
birmingham,9,NGBoost-conformal,True,0.9037037037037036,0.9185185185185184,0.014814814814814836,40.83878195031121,42.48632984034944,56.55836044886026,57.09826778354333,0.009455756814371784
birmingham,10,NGBoost,True,0.5185185185185185,0.5333333333333333,0.014814814814814836,7.971914080620484,7.977961042838972,36.56149399336812,36.13957495499629,0.011539983526065906
