facility_id,horizon,level,method,n_test,n_cal,PICP_corrected,MPIW_corrected,Winkler_corrected,PICP_legacy,MPIW_legacy,Winkler_legacy,d_PICP,d_MPIW,d_Winkler,rel_MPIW,rel_Winkler,arm_role,gate,gamma_held,gamma_legacy_would_select
11,y_t+15min,0.9,split-CP,1015,760,0.916256157635468,6.831176706544692,11.930219295227673,0.916256157635468,6.831176706544692,11.930219295227673,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
11,y_t+15min,0.9,CQR,1015,760,0.916256157635468,5.446614041686219,10.10833767057918,0.916256157635468,5.446614041686219,10.10833767057918,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
11,y_t+15min,0.9,ACI,1015,760,0.8827586206896552,5.574192798858684,9.976448681819004,0.8827586206896552,5.660505608435534,10.010106932490062,0.0,0.0863128095768495,0.0336582506710598,0.0154843602816397,0.0033737707419272,treated,N/A-mechanism-arm,0.05,0.01
11,y_t+15min,0.9,ACQR,1015,760,0.8837438423645321,5.852203759427921,10.162109944440704,0.8837438423645321,5.9406939843044695,10.23112837609246,0.0,0.0884902248765486,0.0690184316517577,0.0151208379807334,0.0067917422689876,treated,N/A-mechanism-arm,0.05,0.02
12,y_t+15min,0.9,split-CP,1015,760,0.8334975369458129,13.80213888888892,32.05158695924581,0.8334975369458129,13.80213888888892,32.05158695924581,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
12,y_t+15min,0.9,CQR,1015,760,0.8729064039408867,11.440122955769128,21.79118684073218,0.8729064039408867,11.440122955769128,21.79118684073218,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
12,y_t+15min,0.9,ACI,1015,760,0.8758620689655172,15.127735243483029,24.74880043982655,0.8758620689655172,15.232894502168149,24.76815619905546,0.0,0.1051592586851182,0.0193557592289117,0.006951421147486,0.0007820887834936,treated,N/A-mechanism-arm,0.05,0.02
12,y_t+15min,0.9,ACQR,1015,760,0.8817733990147784,14.057500463874764,20.77927722145589,0.8817733990147784,14.226129639180398,20.83462803917414,0.0,0.1686291753056341,0.0553508177182529,0.0119956727541272,0.0026637508671908,treated,N/A-mechanism-arm,0.05,0.002
13,y_t+15min,0.9,split-CP,1015,760,0.9044334975369458,23.47727777777777,36.013641294483655,0.9044334975369458,23.47727777777777,36.013641294483655,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
13,y_t+15min,0.9,CQR,1015,760,0.90935960591133,17.333565809757573,28.781182979029523,0.90935960591133,17.333565809757573,28.781182979029523,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
13,y_t+15min,0.9,ACI,1015,760,0.8807881773399014,18.77165355051808,28.33126697422264,0.8827586206896552,18.85348505901141,28.2893125077896,0.0019704433497537,0.0818315084933303,-0.0419544664330366,0.0043593127410489,-0.0014808538732563,treated,N/A-mechanism-arm,0.05,0.1
