facility_id,dynamic,bucket,method,PICP,MPIW,n_cell,n_own,n_init,fell_back,gamma,degenerate
8,True,am_rush,Mondrian-split-CP,1.0,86.37157295111335,192,96,96,False,0.005,False
8,True,midday,Mondrian-split-CP,1.0,31.606618735449743,250,202,202,False,0.005,False
8,True,pm_rush,Mondrian-split-CP,0.9590643274853801,30.76229474148334,171,144,144,False,0.005,False
8,True,evening,Mondrian-split-CP,1.0,30.90513953330619,117,141,141,False,0.005,False
8,True,night,ACI,0.9298245614035088,52.89822696092082,285,177,177,False,0.005,False
8,True,am_rush,ACI,0.953125,51.59583838321208,192,96,96,False,0.005,False
8,True,midday,ACI,0.94,34.777429243386244,250,202,202,False,0.005,False
8,True,pm_rush,ACI,0.8304093567251462,39.255352045236556,171,144,144,False,0.005,False
8,True,evening,ACI,1.0,49.52359535115091,117,141,141,False,0.005,False
8,True,night,ToD-ACI,1.0,68.82568971502833,285,177,177,False,0.005,False
8,True,am_rush,ToD-ACI,0.96875,71.46489967757937,192,96,96,False,0.005,False
8,True,midday,ToD-ACI,1.0,27.17564757671958,250,202,202,False,0.005,False
8,True,pm_rush,ToD-ACI,0.8654970760233918,28.238288108388268,171,144,144,False,0.005,False
8,True,evening,ToD-ACI,1.0,25.71170182697961,117,141,141,False,0.005,False
9,True,night,split-CP,1.0,6.781571428571624,285,177,177,False,0.02,False
9,True,am_rush,split-CP,0.9166666666666666,6.781571428571624,192,96,96,False,0.02,False
9,True,midday,split-CP,0.516,6.781571428571624,250,202,202,False,0.02,False
9,True,pm_rush,split-CP,0.5555555555555556,6.781571428571624,171,144,144,False,0.02,False
9,True,evening,split-CP,0.9743589743589743,6.781571428571624,117,141,141,False,0.02,False
9,True,night,Mondrian-split-CP,0.9298245614035088,0.7783730158730577,285,177,177,False,0.02,False
9,True,am_rush,Mondrian-split-CP,0.7395833333333334,4.528630952380809,192,96,96,False,0.02,False
9,True,midday,Mondrian-split-CP,0.62,8.232412698412645,250,202,202,False,0.02,False
9,True,pm_rush,Mondrian-split-CP,0.7192982456140351,9.819250000000011,171,144,144,False,0.02,False
9,True,evening,Mondrian-split-CP,0.8974358974358975,4.150916666666944,117,141,141,False,0.02,False
9,True,night,ACI,1.0,6.0887755128562135,285,177,177,False,0.02,False
9,True,am_rush,ACI,0.7552083333333334,4.73469292691298,192,96,96,False,0.02,False
9,True,midday,ACI,0.784,13.911010508417489,250,202,202,False,0.02,False
9,True,pm_rush,ACI,0.8771929824561403,15.730746348896917,171,144,144,False,0.02,False
9,True,evening,ACI,0.9829059829059829,10.739621263510138,117,141,141,False,0.02,False
9,True,night,ToD-ACI,0.9122807017543859,0.3934450338810102,285,177,177,False,0.02,False
9,True,am_rush,ToD-ACI,0.859375,10.658873044682947,192,96,96,False,0.02,False
9,True,midday,ToD-ACI,0.892,17.37971148100044,250,202,202,False,0.02,False
9,True,pm_rush,ToD-ACI,0.8421052631578947,16.221658212590985,171,144,144,False,0.02,False
9,True,evening,ToD-ACI,0.8974358974358975,4.313107123329343,117,141,141,False,0.02,False
10,False,night,split-CP,0.9929824561403509,4.83647222222222,285,177,177,False,0.05,False
10,False,am_rush,split-CP,0.9791666666666666,4.83647222222222,192,96,96,False,0.05,False
10,False,midday,split-CP,0.956,4.83647222222222,250,202,202,False,0.05,False
10,False,pm_rush,split-CP,0.9766081871345029,4.83647222222222,171,144,144,False,0.05,False
10,False,evening,split-CP,1.0,4.836472222222221,117,141,141,False,0.05,False
10,False,night,Mondrian-split-CP,0.9789473684210527,3.790365079365074,285,177,177,False,0.05,False
10,False,am_rush,Mondrian-split-CP,1.0,7.397507936507935,192,96,96,False,0.05,False
10,False,midday,Mondrian-split-CP,0.956,4.83647222222222,250,202,202,False,0.05,False
10,False,pm_rush,Mondrian-split-CP,0.9941520467836257,6.520309523809529,171,144,144,False,0.05,False
10,False,evening,Mondrian-split-CP,0.9487179487179487,3.15596296296296,117,141,141,False,0.05,False
10,False,night,ACI,0.9508771929824561,2.604896976025923,285,177,177,False,0.05,False
10,False,am_rush,ACI,0.7916666666666666,2.401444031084656,192,96,96,False,0.05,False
10,False,midday,ACI,0.872,3.7433402659932655,250,202,202,False,0.05,False
10,False,pm_rush,ACI,0.8538011695906432,3.4768415574570537,171,144,144,False,0.05,False
10,False,evening,ACI,0.9316239316239316,3.0625869747536405,117,141,141,False,0.05,False
10,False,night,ToD-ACI,0.9157894736842105,1.515586368699526,285,177,177,False,0.05,False
10,False,am_rush,ToD-ACI,0.8489583333333334,3.335570222938712,192,96,96,False,0.05,False
10,False,midday,ToD-ACI,0.892,4.020072177008176,250,202,202,False,0.05,False
10,False,pm_rush,ToD-ACI,0.8830409356725146,3.711631656301247,171,144,144,False,0.05,False
10,False,evening,ToD-ACI,0.8888888888888888,2.5847459834404263,117,141,141,False,0.05,False
11,True,night,split-CP,1.0,7.476373015873022,285,177,177,False,0.02,False
11,True,am_rush,split-CP,0.84375,6.700602354772934,192,96,96,False,0.02,False
11,True,midday,split-CP,0.888,5.661662034391537,250,202,202,False,0.02,False
11,True,pm_rush,split-CP,0.8421052631578947,7.170825988582574,171,144,144,False,0.02,False
11,True,evening,split-CP,1.0,7.4763730158730235,117,141,141,False,0.02,False
11,True,night,Mondrian-split-CP,0.8631578947368421,1.5215476190476238,285,177,177,False,0.02,False
11,True,am_rush,Mondrian-split-CP,0.921875,13.426055562444887,192,96,96,False,0.02,False
11,True,midday,Mondrian-split-CP,0.92,6.729484558201057,250,202,202,False,0.02,False
11,True,pm_rush,Mondrian-split-CP,0.9064327485380117,10.688903129737927,171,144,144,False,0.02,False
11,True,evening,Mondrian-split-CP,0.9829059829059829,6.292682539682546,117,141,141,False,0.02,False
11,True,night,ACI,1.0,4.55441995373048,285,177,177,False,0.02,False
11,True,am_rush,ACI,0.7083333333333334,3.973068228983593,192,96,96,False,0.02,False
11,True,midday,ACI,0.884,6.562161666259666,250,202,202,False,0.02,False
11,True,pm_rush,ACI,0.9005847953216374,10.457256636367747,171,144,144,False,0.02,False
11,True,evening,ACI,0.9572649572649573,6.493716117216116,117,141,141,False,0.02,False
11,True,night,ToD-ACI,0.8982456140350877,2.014606015037592,285,177,177,False,0.02,False
11,True,am_rush,ToD-ACI,0.890625,14.097774040316358,192,96,96,False,0.02,False
11,True,midday,ToD-ACI,0.892,6.362118380952382,250,202,202,False,0.02,False
11,True,pm_rush,ToD-ACI,0.8771929824561403,9.373023973157014,171,144,144,False,0.02,False
11,True,evening,ToD-ACI,0.9145299145299145,5.307362942612946,117,141,141,False,0.02,False
12,True,night,split-CP,1.0,13.802138888888921,285,177,177,False,0.02,False
12,True,am_rush,split-CP,0.9583333333333334,13.80213888888892,192,96,96,False,0.02,False
12,True,midday,split-CP,0.696,13.802138888888917,250,202,202,False,0.02,False
