policy,theta,seed,n_requests,n_assigned,assigned_rate,abstention_rate,bad_assignment_rate_of_assigned,bad_assignments_per_request,unserved_or_bad_rate,mean_straight_line_km,p90_straight_line_km,window,n_base,n_slots,excluded,margin_m,anchor
INTERVAL,0.9,4,600,600,1.0,0.0,0.0,0.0,0.0,1.2953099019009862,3.5007922224611416,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,4,600,600,1.0,0.0,0.0,0.0,0.0,1.214375585720325,3.24300404059499,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,5,600,600,1.0,0.0,0.0,0.0,0.0,1.14806452151667,3.145871285820436,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,5,600,600,1.0,0.0,0.0,0.0,0.0,1.25566256349547,3.4439576713778264,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,5,600,600,1.0,0.0,0.0,0.0,0.0,1.1631188012760514,3.160869886130808,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,6,600,600,1.0,0.0,0.0,0.0,0.0,1.1618218442828954,3.205710279270299,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,6,600,600,1.0,0.0,0.0,0.0,0.0,1.253533415361445,3.4484892576188386,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,6,600,600,1.0,0.0,0.0,0.0,0.0,1.1835100258137567,3.224232094369759,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,7,600,600,1.0,0.0,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,1.1969245482164121,3.406752579476466,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,7,600,600,1.0,0.0,0.0,0.0,0.0,1.3022638436913632,3.7037355379846417,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,7,600,600,1.0,0.0,0.0,0.0,0.0,1.209262151937478,3.406752579476466,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,8,600,600,1.0,0.0,0.0,0.0,0.0,1.1327563919134171,3.0619050787431017,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,8,600,600,1.0,0.0,0.0,0.0,0.0,1.2196760058713783,3.3803189881246274,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,8,600,600,1.0,0.0,0.0,0.0,0.0,1.1503322214440568,3.124497246913082,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,9,600,600,1.0,0.0,0.0,0.0,0.0,1.1684906791868925,3.122796918361375,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,9,600,600,1.0,0.0,0.0,0.0,0.0,1.2999310719789947,3.4958986100094767,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,9,600,600,1.0,0.0,0.0,0.0,0.0,1.1937681444671808,3.1736523046743024,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,10,600,600,1.0,0.0,0.0,0.0,0.0,1.1387703396619318,3.225659352434123,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,10,600,600,1.0,0.0,0.0,0.0,0.0,1.2260412548324195,3.2916346736814504,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,10,600,600,1.0,0.0,0.0,0.0,0.0,1.1703975589736737,3.2694913454544507,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,11,600,600,1.0,0.0,0.0,0.0,0.0,1.0949427544507457,3.0457898386315807,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,11,600,600,1.0,0.0,0.0,0.0,0.0,1.20269545537391,3.2203843235782657,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,11,600,600,1.0,0.0,0.0,0.0,0.0,1.1124574691220683,3.0500916428046714,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,12,600,600,1.0,0.0,0.0,0.0,0.0,1.2009164809065083,3.3618548489984335,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,12,600,600,1.0,0.0,0.0,0.0,0.0,1.356454788097849,3.81615199184373,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,12,600,600,1.0,0.0,0.0,0.0,0.0,1.2252209526838882,3.416063389386804,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,13,600,600,1.0,0.0,0.0,0.0,0.0,1.1793425161473727,3.1641719173528045,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,13,600,600,1.0,0.0,0.0,0.0,0.0,1.3010559082199824,3.5058412179427942,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,13,600,600,1.0,0.0,0.0,0.0,0.0,1.2119371842197333,3.2995998786421183,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,14,600,600,1.0,0.0,0.0,0.0,0.0,1.279733221222263,3.514643383905148,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,14,600,600,1.0,0.0,0.0,0.0,0.0,1.3383306204933323,3.5762057075326585,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,14,600,600,1.0,0.0,0.0,0.0,0.0,1.3064105822747312,3.536071710303532,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,15,600,600,1.0,0.0,0.0,0.0,0.0,1.1610448997459843,3.2191085393061654,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,15,600,600,1.0,0.0,0.0,0.0,0.0,1.3159112744622181,3.433561767817495,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,15,600,600,1.0,0.0,0.0,0.0,0.0,1.1923223033612191,3.223949499251206,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,16,600,600,1.0,0.0,0.0,0.0,0.0,1.2808908030131216,3.3910934696278363,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,16,600,600,1.0,0.0,0.0,0.0,0.0,1.4417102398333626,3.9584057596951188,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,16,600,600,1.0,0.0,0.0,0.0,0.0,1.2941712147011797,3.418405392920992,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,17,600,600,1.0,0.0,0.0,0.0,0.0,1.1877483403336113,3.385219839571435,weekday,20,167,8,9.777785844442262,9;12;7;13
